date_str,positive,negative,neutral,perc_positive,perc_negative,perc_neutral,acc_positive,acc_negative,acc_neutral,tweet_cnt,acc_tweet_cnt
2020-05-09,10,145,32,0.0535,0.7754,0.1711,10,145,32,187,187
2020-05-10,12,414,30,0.0263,0.9079,0.0658,22,559,62,456,643
2020-05-11,18,1305,13,0.0135,0.9768,0.0097,40,1864,75,1336,1979
2020-05-12,36,314,33,0.094,0.8198,0.0862,76,2178,108,383,2362
2020-05-13,45,177,31,0.1779,0.6996,0.1225,121,2355,139,253,2615
2020-05-14,31,288,64,0.0809,0.752,0.1671,152,2643,203,383,2998
2020-05-15,75,125,45,0.3061,0.5102,0.1837,227,2768,248,245,3243
2020-05-16,26,159,93,0.0935,0.5719,0.3345,253,2927,341,278,3521
2020-05-17,14,74,39,0.1102,0.5827,0.3071,267,3001,380,127,3648
2020-05-18,19,81,21,0.157,0.6694,0.1736,286,3082,401,121,3769
2020-05-19,85,979,152,0.0699,0.8051,0.125,371,4061,553,1216,4985
2020-05-20,648,3756,1294,0.1137,0.6592,0.2271,1019,7817,1847,5698,10683
2020-05-21,1869,10247,4272,0.114,0.6253,0.2607,2888,18064,6119,16388,27071
2020-05-22,2079,13470,5275,0.0998,0.6468,0.2533,4967,31534,11394,20824,47895
2020-05-23,2307,10187,3853,0.1411,0.6232,0.2357,7274,41721,15247,16347,64242
2020-05-24,1828,10390,4801,0.1074,0.6105,0.2821,9102,52111,20048,17019,81261
2020-05-25,1758,9167,4656,0.1128,0.5883,0.2988,10860,61278,24704,15581,96842
2020-05-26,2107,11038,5356,0.1139,0.5966,0.2895,12967,72316,30060,18501,115343
2020-05-27,2244,13715,6831,0.0985,0.6018,0.2997,15211,86031,36891,22790,138133
